Model,Precision,Recall,F1-Score,Accuracy
Logistic Regression,0.8235294117647058,0.84,0.8316831683168316,0.8131868131868132
Decision Tree,0.7954545454545454,0.7,0.7446808510638298,0.7362637362637363
Random Forest,0.84,0.84,0.84,0.8241758241758241
